key,value,updated_at
stream_quality,720,1970-01-01T00:00:00Z
cache_retention_days,30,1970-01-01T00:00:00Z
cache_min_free_gb,20,1970-01-01T00:00:00Z
background_download_max_mbps,75,1970-01-01T00:00:00Z
cache_cleanup_interval_minutes,360,1970-01-01T00:00:00Z
newest_videos_to_download,0,1970-01-01T00:00:00Z
initial_channel_import_count,20,1970-01-01T00:00:00Z
subscription_sync_minutes,60,1970-01-01T00:00:00Z
public_base_url,http://localhost:8080,1970-01-01T00:00:00Z
preferred_video_codecs,"av1,vp9,h264",1970-01-01T00:00:00Z
preferred_audio_codecs,"opus,aac",1970-01-01T00:00:00Z
yt_dlp_path,yt-dlp,1970-01-01T00:00:00Z
ffmpeg_path,ffmpeg,1970-01-01T00:00:00Z
youtube_player_client,"default,mweb",1970-01-01T00:00:00Z
youtube_po_token,,1970-01-01T00:00:00Z
youtube_po_token_provider_enabled,true,1970-01-01T00:00:00Z
youtube_po_token_provider_args,"youtubepot-bgutilhttp:base_url=http://pot-provider:4416",1970-01-01T00:00:00Z
jellyfin_enabled,true,1970-01-01T00:00:00Z
jellyfin_auto_refresh,true,1970-01-01T00:00:00Z
jellyfin_runtime_sync,true,1970-01-01T00:00:00Z
jellyfin_request_timeout_seconds,10,1970-01-01T00:00:00Z
